Année d’obtention;Diplôme;Situation;Remarque;Discipline principale agrégée de l’école doctorale;Part de femmes diplômées;Age moyen à la soutenance;Part_docteurs étrangers;Nombre de répondant;Taux de réponse;Part de docteurs déclarant avoir été financés pour réaliser leur thèse;Taux d'insertion;Taux d’emploi stable;Taux d’emploi cadre;Taux d’emploi à temps plein;Répartition des docteurs en emploi dans le secteur académique;Répartition des docteurs en emploi dans le public hors secteur académique;Répartition des docteurs en emploi dans la R&D privée;Répartition des docteurs en emploi dans le privé hors secteur académique et R&D;Taux d’emploi à l’étranger;Taux d’emploi des docteurs dans la même région;1er quartile du salaire net mensuel des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;3ème quartile du salaire net mensuel des emplois à temps plein;Salaire brut annuel moyen estimé;Lib_Etablissement;NUMERO_UAI;Lib_Etablissement_Courant;NUMERO_UAI_Courant
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;22;31;55;43;54;84;85;73;97;100;40;15;23;22;25;41;2127;2494;3542;38064;BESANCON;0251215K;BESANCON;0251215K
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;35;30;29;20;36;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;I.S.A.E.;0312760G;I.S.A.E.;0312760G
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;64;34;21;10;71;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;IEP BORDEAUX;0330192E;IEP BORDEAUX;0330192E
2014;DOCTORAT;36 mois après le diplôme;;Sciences et leurs interactions;30;29;37;166;69;95;89;64;94;99;52;8;28;11;36;27;2146;2494;2952;38000;BORDEAUX;0333298F;BORDEAUX;0333298F
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;48;28;14;13;62;77;83;54;100;100;75;11;7;7;22;7;2178;2314;2540;32670;ENS CHIM. MONTPELLIER;0340112M;ENS CHIM. MONTPELLIER;0340112M
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;45;35;40;21;50;65;86;61;86;92;47;27;4;22;22;52;1800;1995;2256;31920;MONTPELLIER 3;0341089Z;MONTPELLIER 3;0341089Z
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;46;32;15;23;56;100;77;81;76;80;61;10;10;19;27;41;1851;1955;1983;27600;MONTPELLIER SUPAGRO;0342222F;MONTPELLIER SUPAGRO;0342222F
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;30;29;51;104;67;95;89;68;92;94;54;9;22;15;46;16;2160;2468;2980;38464;RENNES 1;0350936C;RENNES 1;0350936C
2014;DOCTORAT;36 mois après le diplôme;;Sciences humaines et humanités;45;36;21;41;73;34;93;60;75;88;40;48;0;12;30;29;1563;1970;2267;27816;RENNES 2;0350937D;RENNES 2;0350937D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;68;35;40;35;70;44;83;67;92;87;34;51;6;9;35;34;1700;2210;3111;31200;TOURS;0370800U;TOURS;0370800U
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;25;30;58;22;55;82;78;72;88;95;46;0;38;16;41;24;2213;2625;3400;39000;SAINT-ETIENNE;0421095M;SAINT-ETIENNE;0421095M
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;35;34;65;19;73;86;87;83;64;93;51;35;0;14;46;29;2074;2263;2614;31944;ORLEANS;0450855K;ORLEANS;0450855K
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;50;33;40;23;64;51;100;65;100;85;71;8;10;11;44;0;2160;2211;2330;31218;LILLE 1 (fermé);0593559Y;UNIVERSITE DE LILLE;0597065J
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;56;34;24;25;78;48;81;85;91;94;45;38;0;17;29;0;2057;2281;2777;32208;LILLE 2 (fermé);0593560Z;UNIVERSITE DE LILLE;0597065J
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;62;37;22;40;66;33;97;69;83;85;36;46;4;14;6;0;1918;2281;2980;32208;LILLE 3 (fermé);0593561A;UNIVERSITE DE LILLE;0597065J
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;nd;nd;nd;3;60;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ARTOIS;0623957P;ARTOIS;0623957P
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;39;33;63;20;61;45;94;62;70;77;16;44;19;22;27;36;2222;2862;4148;40400;CLERMONT AUVERGNE;0632035V;CLERMONT AUVERGNE;0632035V
2014;DOCTORAT;36 mois après le diplôme;;Sciences et leurs interactions;38;29;44;114;71;90;93;60;97;97;47;14;24;15;46;24;1952;2261;2594;32880;UNIVERSITE DE STRASBOURG;0673021V;UNIVERSITE DE STRASBOURG;0673021V
2014;DOCTORAT;36 mois après le diplôme;;Sciences du vivant;57;30;35;107;82;90;87;37;93;94;61;11;11;18;44;30;2078;2438;3391;35000;UNIVERSITE DE STRASBOURG;0673021V;UNIVERSITE DE STRASBOURG;0673021V
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;nd;nd;nd;3;60;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;MULHOUSE;0681166Y;MULHOUSE;0681166Y
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;33;35;43;6;66;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;LYON 1;0691774D;LYON 1;0691774D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;39;35;41;14;50;80;88;43;100;72;30;62;8;0;40;46;1955;2040;2550;28800;ENS LYON;0694123G;ENS LYON;0694123G
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;nd;nd;nd;1;33;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;LE MANS;0720916E;LE MANS;0720916E
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;33;28;25;14;58;82;90;77;90;100;33;0;40;27;13;17;2250;2394;2816;38304;INSA ROUEN;0760165S;INSA ROUEN;0760165S
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;45;29;50;17;77;86;94;58;89;82;42;25;23;9;32;40;2026;2267;2375;32000;TOULON;0830766G;TOULON;0830766G
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;55;36;71;8;36;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;TOULON;0830766G;TOULON;0830766G
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;49;37;58;6;13;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;PARIS 13;0931238R;PARIS 13;0931238R
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;28;28;43;35;60;89;89;58;100;95;52;8;20;20;14;nd;2263;2494;2893;33396;CAEN;0141408E;CAEN;0141408E
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;22;31;55;43;54;84;77;49;97;100;57;13;5;25;27;nd;2195;2696;3908;28024;BESANCON;0251215K;BESANCON;0251215K
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;33;30;80;17;42;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;ENS TELECOMM.BREST (fermé);0291811L;IMT ATLANTIQUE BREST;0292355C
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;54;31;46;15;58;85;64;37;100;88;41;12;21;26;29;nd;2188;2188;3086;30324;INP TOULOUSE;0311381H;INP TOULOUSE;0311381H
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;47;30;29;57;65;84;69;35;88;91;61;12;9;18;33;nd;1908;2146;2468;30202;BORDEAUX;0333298F;BORDEAUX;0333298F
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;0;33;0;4;100;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;MONTPELLIER 1 (fermé);0341087X;U MONTPELLIER;0342321N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;36;29;51;107;57;87;81;39;98;100;64;6;21;9;28;nd;2125;2366;2672;30000;MONTPELLIER 2 (fermé);0341088Y;U MONTPELLIER;0342321N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;46;32;15;23;56;100;88;41;88;96;76;0;4;20;41;nd;1851;1955;2125;27588;MONTPELLIER SUPAGRO;0342222F;MONTPELLIER SUPAGRO;0342222F
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;58;35;25;9;75;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;MONTPELLIER SUPAGRO;0342222F;MONTPELLIER SUPAGRO;0342222F
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;33;34;40;28;58;60;91;51;100;97;68;27;0;5;50;nd;2366;2500;3090;37500;RENNES 1;0350936C;RENNES 1;0350936C
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;63;30;38;6;75;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;SAINT-ETIENNE;0421095M;SAINT-ETIENNE;0421095M
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;38;30;52;19;65;93;80;47;100;100;39;11;23;27;29;nd;2261;2366;2468;30492;ENSM NANTES (fermé);0442205H;IMT ATLANTIQUE NANTES;0442852L
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;100;34;50;6;50;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;ONIRIS NANTES ATLANTIQUE;0442674T;ONIRIS NANTES ATLANTIQUE;0442674T
2014;DOCTORAT;12 mois après le diplôme;;Sciences et leurs interactions;31;29;43;142;68;90;83;48;97;96;56;10;16;18;35;nd;2057;2263;2672;27816;LILLE 1 (fermé);0593559Y;UNIVERSITE DE LILLE;0597065J
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;50;33;40;23;64;51;85;83;96;78;54;20;21;5;39;nd;2178;2211;2330;29280;LILLE 1 (fermé);0593559Y;UNIVERSITE DE LILLE;0597065J
2014;DOCTORAT;12 mois après le diplôme;;Sciences du vivant;72;30;25;46;77;79;90;41;88;92;65;23;4;7;39;nd;1842;2254;2569;26136;CLERMONT AUVERGNE;0632035V;CLERMONT AUVERGNE;0632035V
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;50;29;35;21;81;95;60;48;100;100;72;0;15;13;35;nd;1991;2000;2344;24000;PERPIGNAN;0660437S;PERPIGNAN;0660437S
2014;DOCTORAT;12 mois après le diplôme;;Sciences du vivant;57;30;35;107;82;90;83;30;91;96;65;17;9;9;36;nd;2179;2593;4114;29040;UNIVERSITE DE STRASBOURG;0673021V;UNIVERSITE DE STRASBOURG;0673021V
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;53;37;49;70;53;60;74;68;90;89;35;50;3;12;28;nd;2057;2180;2547;34400;UNIVERSITE DE STRASBOURG;0673021V;UNIVERSITE DE STRASBOURG;0673021V
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;30;29;51;70;51;80;83;60;90;100;36;7;25;33;30;nd;2063;2397;2813;31000;INSA LYON;0690192J;INSA LYON;0690192J
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;62;37;22;56;61;43;80;53;80;78;44;37;5;13;46;nd;2125;2338;3188;30000;LYON 2;0691775E;LYON 2;0691775E
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;65;39;16;31;54;39;88;76;83;90;51;31;0;18;42;nd;2218;2479;2663;32000;LYON 2;0691775E;LYON 2;0691775E
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;nd;nd;nd;1;33;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;LE MANS;0720916E;LE MANS;0720916E
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;59;31;34;11;27;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;MUSEUM PARIS;0753494R;MUSEUM PARIS;0753494R
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;nd;nd;nd;2;66;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;EHESS PARIS;0753742K;EHESS PARIS;0753742K
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;68;37;34;25;61;55;76;62;87;95;51;32;0;17;14;nd;1995;2281;2380;25000;ROUEN;0761904G;ROUEN;0761904G
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;nd;nd;nd;1;8;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;VERSAILLES ST-QUENT.;0781944P;VERSAILLES ST-QUENT.;0781944P
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;55;36;41;19;65;22;84;71;75;100;46;39;0;15;29;nd;1327;1659;1970;24255;AMIENS;0801344B;AMIENS;0801344B
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;40;31;46;19;54;66;76;36;89;94;63;20;8;10;32;nd;1748;2201;2394;30744;AVIGNON;0840685N;AVIGNON;0840685N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;41;29;53;46;59;87;77;45;89;98;54;12;17;17;39;nd;2250;2250;2688;30000;POITIERS;0860856N;POITIERS;0860856N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;63;34;54;18;51;58;100;56;76;96;68;27;0;5;38;nd;1648;2904;3086;23232;POITIERS;0860856N;POITIERS;0860856N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;nd;nd;nd;2;50;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;EVRY;0911975C;EVRY;0911975C
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;64;36;21;5;36;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;NOUVELLE CALEDONIE;9830445S;NOUVELLE CALEDONIE;9830445S
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;nd;nd;nd;1;25;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;;UNIVERSITE POLYTECHNIQUE HAUTS;0597132G
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;67;36;51;25;25;61;92;61;100;87;46;49;3;2;46;22;2093;2281;3046;32208;;;UNIVERSITE DE PARIS;0755976N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;25;29;31;64;53;90;92;79;96;96;17;12;47;24;20;45;2313;2672;2955;42000;;;UNIVERSITE PARIS SCIENCES ET LETTRES;0756036D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;30;29;62;52;38;91;97;84;93;95;25;19;28;28;15;64;2375;2880;3125;42108;;;UNIVERSITE GUSTAVE EIFFEL;0772894C
2014;DOCTORAT;36 mois après le diplôme;;Sciences et leurs interactions;31;28;42;227;52;89;92;63;95;99;50;11;20;19;32;48;2250;2500;2983;38400;;;UNIVERSITE PARIS SACLAY;0912408Y
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;52;36;39;17;51;53;84;70;84;100;29;41;0;31;29;71;1763;3111;3111;43920;;;CY CERGY PARIS UNIVERSITE;0952259P
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;32;30;60;51;46;90;95;57;97;100;44;15;27;14;49;nd;2188;2488;2983;39800;;;UNIVERSITE COTE AZUR;0062205P
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;67;38;41;18;13;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;;;UNIVERSITE DE PARIS;0755976N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;25;29;31;64;53;90;85;67;95;96;21;11;40;28;19;nd;2500;2774;2969;38000;;;UNIVERSITE PARIS SCIENCES ET LETTRES;0756036D
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;45;nd;nd;92;55;65;84;54;89;86;55;28;3;13;33;nd;2263;2520;3411;32208;;;UNIVERSITE PARIS SCIENCES ET LETTRES;0756036D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;62;30;19;16;61;87;85;45;85;100;48;35;11;6;12;53;1560;1970;2074;27816;CAEN;0141408E;CAEN;0141408E
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;50;36;67;7;58;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;CAEN;0141408E;CAEN;0141408E
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;50;44;30;6;60;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;BREST;0290346U;BREST;0290346U
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;46;32;52;40;53;45;97;82;97;98;41;19;8;32;22;40;1771;2120;2833;31148;TOULOUSE 1;0311382J;TOULOUSE 1;0311382J
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;50;30;31;7;70;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;TOULOUSE 3;0311384L;TOULOUSE 3;0311384L
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;46;29;33;9;69;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;MONTPELLIER 1 (fermé);0341087X;U MONTPELLIER;0342321N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;53;30;44;61;61;95;82;54;98;96;74;9;8;8;53;24;2079;2263;2479;34200;MONTPELLIER 2 (fermé);0341088Y;U MONTPELLIER;0342321N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;58;35;25;9;75;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;MONTPELLIER SUPAGRO;0342222F;MONTPELLIER SUPAGRO;0342222F
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;39;31;9;35;76;77;97;42;90;91;70;22;5;3;32;40;1954;2385;4114;33672;RENNES 1;0350936C;RENNES 1;0350936C
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;50;29;28;25;69;82;92;55;91;95;49;25;8;19;27;14;2092;2314;2593;36168;AGROCAMPUS OUEST;0352692L;AGROCAMPUS OUEST;0352692L
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;nd;nd;nd;2;66;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;AGROCAMPUS OUEST;0352692L;AGROCAMPUS OUEST;0352692L
